ID,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
47,47,5.99,5.9,6.08,0.74,1.17,0.5,0.61,0.28,0.34,2.35
48,48,5.98,5.9,6.06,1.35,1.04,0.85,0.19,0.03,0.17,2.35
49,54,5.86,5.79,5.92,1.23,1.05,0.59,0.33,0.04,0.03,2.59
50,50,5.96,5.71,6.2,0.88,0.69,0.46,0.51,0.11,0.24,3.08
51,51,5.92,5.85,5.99,1.38,1.06,0.91,0.47,0.19,0.1,1.81
52,58,5.81,5.73,5.89,1.27,1.06,0.65,0.19,0.02,0.02,2.61
53,37,6.36,6.23,6.48,1.05,0.83,0.62,0.21,0.16,0.07,3.41
54,66,5.56,5.49,5.63,1.22,0.95,0.64,0.28,0.09,0.17,2.21
55,56,5.84,5.75,5.92,1.36,0.72,0.89,0.25,0.08,0.19,2.35
56,53,5.9,5.82,5.97,0.69,0.83,0.52,0.25,0.02,0.2,3.38
57,69,5.53,5.43,5.63,1.17,0.73,0.68,0.37,0.01,0.13,2.45
58,57,5.82,5.74,5.9,0.79,0.84,0.47,0.51,0.08,0.22,2.92
59,63,5.66,5.58,5.74,1.08,1.04,0.44,0.37,0.28,0.23,2.21
60,52,5.92,5.84,6,1.23,0.96,0.57,0.41,0.11,0.15,2.49
61,60,5.77,5.67,5.87,1.31,0.82,0.84,0.44,0.17,0.26,1.93
62,61,5.77,5.68,5.85,1.3,1.06,0.79,0.53,0.04,0.26,1.8
